target_id,bug,location_category
collections_17f_put__line254_330,Collections_17,DIFF_FILE
collections_17f_size__line1027_1058,Collections_17,DIFF_FILE
collections_17f_verbosePrintInternal__line954_1020,Collections_17,DIFF_FILE
collections_1f_containsKey__line186_213,Collections_1,SAME_FILE
collections_1f_put__line255_331,Collections_1,SAME_FILE
collections_1f_swapPosition__line1043_1135,Collections_1,DIFF_FILE
collections_21f_containsKey__line197_236,Collections_21,DIFF_FILE
collections_21f_merge__line1563_1616,Collections_21,DIFF_FILE
collections_21f_put__line290_366,Collections_21,DIFF_FILE
collections_21f_verbosePrintInternal__line966_1028,Collections_21,DIFF_FILE
collections_22f_size__line1301_1332,Collections_22,DIFF_FILE
compress_10f_read__line212_291,Compress_10,DIFF_FILE
compress_19f_readDirectoryEntry__line291_374,Compress_19,DIFF_FILE
compress_1f_generateMTFValues__line1542_1638,Compress_1,DIFF_FILE
compress_21f_readSubStreamsInfo__line397_478,Compress_21,DIFF_FILE
compress_29f_createLocalFileHeader__line1009_1073,Compress_29,DIFF_FILE
compress_3f_perform__line64_127,Compress_3,DIFF_FILE
compress_43f_detect__line486_564,Compress_43,DIFF_FILE
compress_43f_readFrameDescriptor__line190_233,Compress_43,DIFF_FILE
compress_46f_processPaxHeader__line1021_1087,Compress_46,DIFF_FILE
compress_7f_initBlock__line240_278,Compress_7,DIFF_FILE
compress_7f_recvDecodingTables__line416_495,Compress_7,DIFF_FILE
csv_11f_initializeHeader__line359_394,Csv_11,LINE_OVERLAP
csv_1f_encapsulatedTokenLexer__line181_225,Csv_1,DIFF_FILE
csv_1f_nextToken__line40_118,Csv_1,DIFF_FILE
csv_2f_nextRecord__line183_222,Csv_2,DIFF_FILE
csv_2f_parseEncapsulatedToken__line198_242,Csv_2,DIFF_FILE
csv_2f_parseSimpleToken__line149_176,Csv_2,DIFF_FILE
csv_3f_readEscape__line87_117,Csv_3,LINE_OVERLAP
csv_4f_equals__line313_370,Csv_4,DIFF_FILE
csv_4f_nextToken__line82_164,Csv_4,DIFF_FILE
csv_4f_parseEncapsulatedToken__line239_288,Csv_4,DIFF_FILE
csv_4f_parseSimpleToken__line185_217,Csv_4,DIFF_FILE
gson_11f_doPeek__line461_515,Gson_11,DIFF_FILE
gson_11f_nextUnquotedValue__line1025_1085,Gson_11,DIFF_FILE
gson_11f_skipValue__line1219_1253,Gson_11,DIFF_FILE
gson_1f_extractTypeForHierarchy__line117_153,Gson_1,LINE_OVERLAP
gson_1f_nextLiteral__line971_1016,Gson_1,DIFF_FILE
gson_1f_write__line86_130,Gson_1,DIFF_FILE
gson_2f_equals__line160_213,Gson_2,DIFF_FILE
gson_2f_newDefaultImplementationConstructor__line127_198,Gson_2,DIFF_FILE
gson_2f_parse__line140_234,Gson_2,DIFF_FILE
gson_2f_peek__line86_127,Gson_2,DIFF_FILE
gson_2f_rebalance__line338_396,Gson_2,DIFF_FILE
gson_2f_resolve__line324_394,Gson_2,DIFF_FILE
jacksoncore_1f__isNextTokenNameYes__line902_972,JacksonCore_1,DIFF_FILE
jacksoncore_1f__skipColon__line2527_2597,JacksonCore_1,DIFF_FILE
jacksoncore_1f__writeSimpleObject__line465_528,JacksonCore_1,DIFF_FILE
jacksoncore_22f__finishToken__line218_293,JacksonCore_22,DIFF_FILE
jacksoncore_22f__parseAposName__line2054_2153,JacksonCore_22,DIFF_FILE
jacksoncore_22f__startValueAfterColon__line545_609,JacksonCore_22,DIFF_FILE
jacksoncore_25f__finishAposName__line2136_2231,JacksonCore_25,DIFF_FILE
jacksoncore_25f__startValueAfterComma__line812_874,JacksonCore_25,DIFF_FILE
jacksoncore_25f__startValueExpectComma__line642_730,JacksonCore_25,DIFF_FILE
jacksoncore_2f__parseFloat__line1329_1421,JacksonCore_2,SAME_FILE
jacksoncore_4f__writeSimpleObject__line1505_1567,JacksonCore_4,DIFF_FILE
jacksondatabind_1f__addDeserializerConstructors__line357_448,JacksonDatabind_1,DIFF_FILE
jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,JacksonDatabind_1,DIFF_FILE
jacksondatabind_1f_resolveCreators__line323_403,JacksonDatabind_1,DIFF_FILE
jacksondatabind_1f_resolve__line255_328,JacksonDatabind_1,DIFF_FILE
jacksondatabind_1f_serialize__line203_303,JacksonDatabind_1,DIFF_FILE
jacksondatabind_2f_buildCollectionSerializer__line598_660,JacksonDatabind_2,DIFF_FILE
jacksondatabind_2f_forType__line63_100,JacksonDatabind_2,DIFF_FILE
jacksondatabind_59f_deserializeFromObject__line60_156,JacksonDatabind_59,DIFF_FILE
jacksondatabind_80f__deserializeUsingProperties__line328_402,JacksonDatabind_80,DIFF_FILE
jacksondatabind_80f__isValuePresent__line179_275,JacksonDatabind_80,DIFF_FILE
jacksondatabind_96f__getSetterInfo__line242_315,JacksonDatabind_96,DIFF_FILE
jacksondatabind_96f__idFrom__line66_115,JacksonDatabind_96,DIFF_FILE
jacksonxml_1f__findRootName__line63_91,JacksonXml_1,DIFF_FILE
jacksonxml_1f__next__line303_348,JacksonXml_1,DIFF_FILE
jacksonxml_1f_hasXMLFormat__line682_770,JacksonXml_1,DIFF_FILE
jacksonxml_1f_nextTextValue__line594_688,JacksonXml_1,SAME_FILE
jacksonxml_1f_sanitizeXmlTypeName__line32_71,JacksonXml_1,DIFF_FILE
jacksonxml_1f_serializeAsField__line78_152,JacksonXml_1,DIFF_FILE
jacksonxml_1f_updateProperties__line31_78,JacksonXml_1,DIFF_FILE
jacksonxml_2f_writeString__line560_595,JacksonXml_2,DIFF_FILE
jsoup_12f_parseAttribute__line183_214,Jsoup_12,DIFF_FILE
jsoup_13f_byAttribute__line177_209,Jsoup_13,DIFF_FILE
jsoup_13f_findElements__line120_152,Jsoup_13,DIFF_FILE
jsoup_1f_canContain__line67_99,Jsoup_1,DIFF_FILE
jsoup_20f_resetInsertionMode__line351_399,Jsoup_20,DIFF_FILE
jsoup_28f_consumeCharacterReference__line100_155,Jsoup_28,SAME_FILE
jsoup_33f_cssNthChild__line277_308,Jsoup_33,DIFF_FILE
jsoup_66f_filter__line81_125,Jsoup_66,DIFF_FILE
jsoup_67f_parseInputStream__line92_155,Jsoup_67,DIFF_FILE
jxpath_1f_computeContextDependent__line142_186,JxPath_1,DIFF_FILE
jxpath_1f_computeValue__line212_276,JxPath_1,DIFF_FILE
jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,JxPath_1,DIFF_FILE
jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,JxPath_1,DIFF_FILE
jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,JxPath_1,DIFF_FILE
jxpath_1f_jjMoveStringLiteralDfa3_0__line598_658,JxPath_1,DIFF_FILE
jxpath_1f_jj_3R_129__line2567_2609,JxPath_1,DIFF_FILE
jxpath_1f_jj_3R_18__line1897_1990,JxPath_1,DIFF_FILE
jxpath_1f_jj_3R_19__line3419_3440,JxPath_1,DIFF_FILE
jxpath_6f_canConvert__line51_148,JxPath_6,DIFF_FILE
lang_1f_binaryBeMsb0ToHexDigit__line511_582,Lang_1,DIFF_FILE
lang_1f_binaryToHexDigitMsb0_4bits__line403_474,Lang_1,DIFF_FILE
lang_1f_binaryToHexDigit__line300_365,Lang_1,DIFF_FILE
lang_1f_format__line414_467,Lang_1,DIFF_FILE
lang_1f_hexDigitMsb0ToBinary__line220_265,Lang_1,DIFF_FILE
lang_36f_appendInternal__line454_551,Lang_36,DIFF_FILE
lang_36f_append__line367_409,Lang_36,DIFF_FILE
lang_37f_append__line441_491,Lang_37,DIFF_FILE
lang_40f_random__line225_284,Lang_40,DIFF_FILE
lang_5f_isNumber__line1310_1410,Lang_5,DIFF_FILE
lang_60f_format__line373_426,Lang_60,DIFF_FILE
lang_64f_append__line403_452,Lang_64,DIFF_FILE
math_15f_insertEdges__line232_320,Math_15,DIFF_FILE
math_23f_copy__line668_739,Math_23,DIFF_FILE
math_36f_compareTo__line247_287,Math_36,DIFF_FILE
math_36f_recurseSides__line436_510,Math_36,DIFF_FILE
math_43f_regress__line759_823,Math_43,DIFF_FILE
math_45f_scalb__line3036_3112,Math_45,DIFF_FILE
math_55f_round__line1330_1403,Math_55,DIFF_FILE
math_79f_evaluateStep__line166_260,Math_79,DIFF_FILE
math_82f_roundUnscaled__line1074_1154,Math_82,DIFF_FILE
math_85f_dqd__line1318_1411,Math_85,DIFF_FILE
math_92f_localMin__line103_201,Math_92,DIFF_FILE
mockito_1f_appendConstant__line136_221,Mockito_1,DIFF_FILE
mockito_1f_append__line332_378,Mockito_1,DIFF_FILE
mockito_1f_binaryOperation__line224_294,Mockito_1,DIFF_FILE
mockito_1f_cast_numeric__line252_297,Mockito_1,DIFF_FILE
mockito_1f_merge__line1340_1401,Mockito_1,DIFF_FILE
mockito_1f_newOperation__line79_128,Mockito_1,DIFF_FILE
mockito_1f_parseType__line140_228,Mockito_1,DIFF_FILE
mockito_1f_unaryOperation__line136_222,Mockito_1,DIFF_FILE
mockito_1f_visitJumpInsn__line856_945,Mockito_1,DIFF_FILE
mockito_1f_visit__line64_151,Mockito_1,DIFF_FILE
mockito_25f_returnValueFor__line70_108,Mockito_25,DIFF_FILE
mockito_38f_matches__line18_42,Mockito_38,DIFF_FILE
time_1f_selectSlow__line242_316,Time_1,DIFF_FILE
time_22f_compile__line366_453,Time_22,DIFF_FILE
time_22f_isNumericToken__line632_664,Time_22,DIFF_FILE
time_22f_parseToken__line574_624,Time_22,DIFF_FILE
time_6f_time__line384_446,Time_6,DIFF_FILE
