target_id,model_name,run_name,mutant_id,killed,n_killing_tests,eligible_test_count,trivial
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,codegeex4:9b,batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,m06,0,0,70,n/a
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,codegeex4:9b,batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,m07,0,0,70,n/a
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,codegeex4:9b,batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,m08,0,0,70,n/a
chart_6f_equals__line1488_1582,codegeex4:9b,batch01__Chart_6__equals__chart_6f_equals_line1488,m04,1,2,3,False
chart_6f_equals__line1488_1582,codegeex4:9b,batch01__Chart_6__equals__chart_6f_equals_line1488,m05,1,3,3,False
chart_6f_equals__line1488_1582,codegeex4:9b,batch01__Chart_6__equals__chart_6f_equals_line1488,m07,1,2,3,False
chart_6f_equals__line1488_1582,codegeex4:9b,batch01__Chart_6__equals__chart_6f_equals_line1488,m08,1,3,3,False
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m02,1,17,31,False
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m04,1,18,31,False
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m05,0,0,31,n/a
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m06,1,20,31,False
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m07,1,10,31,False
cli_14f_appendUsage__line298_390,codegeex4:9b,batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,m08,1,9,31,False
cli_1f_findWrapPos__line789_833,codegeex4:9b,batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,m03,0,0,7,n/a
cli_1f_findWrapPos__line789_833,codegeex4:9b,batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,m04,1,1,7,False
cli_1f_findWrapPos__line789_833,codegeex4:9b,batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,m07,1,3,7,False
cli_1f_findWrapPos__line789_833,codegeex4:9b,batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,m08,1,1,7,False
cli_1f_parse__line129_220,codegeex4:9b,batch01__Cli_1__parse__cli_1f_parse_line129,m01,1,67,74,False
cli_1f_parse__line129_220,codegeex4:9b,batch01__Cli_1__parse__cli_1f_parse_line129,m07,1,38,74,False
cli_30f_createValue__line60_102,codegeex4:9b,batch01__Cli_30__createValue__cli_30f_createValue_line60,m04,0,0,6,n/a
cli_30f_createValue__line60_102,codegeex4:9b,batch01__Cli_30__createValue__cli_30f_createValue_line60,m05,1,2,6,False
cli_30f_createValue__line60_102,codegeex4:9b,batch01__Cli_30__createValue__cli_30f_createValue_line60,m06,1,2,6,False
cli_30f_createValue__line60_102,codegeex4:9b,batch01__Cli_30__createValue__cli_30f_createValue_line60,m07,0,0,6,n/a
cli_30f_createValue__line60_102,codegeex4:9b,batch01__Cli_30__createValue__cli_30f_createValue_line60,m08,1,1,6,False
cli_30f_processProperties__line252_305,codegeex4:9b,batch01__Cli_30__processProperties__cli_30f_processProperties_line252,m07,1,1,64,False
cli_30f_processProperties__line252_305,codegeex4:9b,batch01__Cli_30__processProperties__cli_30f_processProperties_line252,m08,1,1,64,False
cli_3f_createValue__line59_101,codegeex4:9b,batch01__Cli_3__createValue__cli_3f_createValue_line59,m01,1,1,1,False
cli_3f_createValue__line59_101,codegeex4:9b,batch01__Cli_3__createValue__cli_3f_createValue_line59,m03,0,0,1,n/a
cli_3f_createValue__line59_101,codegeex4:9b,batch01__Cli_3__createValue__cli_3f_createValue_line59,m04,0,0,1,n/a
cli_3f_createValue__line59_101,codegeex4:9b,batch01__Cli_3__createValue__cli_3f_createValue_line59,m05,0,0,1,n/a
cli_3f_createValue__line59_101,codegeex4:9b,batch01__Cli_3__createValue__cli_3f_createValue_line59,m07,1,1,1,False
cli_40f_flatten__line94_174,codegeex4:9b,batch01__Cli_40__flatten__cli_40f_flatten_line94,m01,1,12,76,False
cli_40f_flatten__line94_174,codegeex4:9b,batch01__Cli_40__flatten__cli_40f_flatten_line94,m02,1,14,76,False
cli_40f_flatten__line94_174,codegeex4:9b,batch01__Cli_40__flatten__cli_40f_flatten_line94,m03,1,1,76,False
cli_40f_flatten__line94_174,codegeex4:9b,batch01__Cli_40__flatten__cli_40f_flatten_line94,m04,1,55,76,False
cli_40f_flatten__line94_174,codegeex4:9b,batch01__Cli_40__flatten__cli_40f_flatten_line94,m06,1,11,76,False
cli_40f_parse__line144_244,codegeex4:9b,batch01__Cli_40__parse__cli_40f_parse_line144,m01,1,73,81,False
cli_40f_parse__line144_244,codegeex4:9b,batch01__Cli_40__parse__cli_40f_parse_line144,m04,1,1,81,False
cli_40f_parse__line144_244,codegeex4:9b,batch01__Cli_40__parse__cli_40f_parse_line144,m05,0,0,81,n/a
cli_40f_parse__line144_244,codegeex4:9b,batch01__Cli_40__parse__cli_40f_parse_line144,m08,0,0,81,n/a
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m01,1,19,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m02,1,14,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m03,1,15,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m04,1,14,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m05,1,19,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m06,1,9,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m07,1,19,27,False
cli_7f_appendUsage__line258_320,codegeex4:9b,batch01__Cli_7__appendUsage__cli_7f_appendUsage_line258,m08,1,8,27,False
cli_7f_process__line156_235,codegeex4:9b,batch01__Cli_7__process__cli_7f_process_line156,m02,1,1,32,False
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m01,1,26,26,True
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m02,1,25,26,False
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m03,1,24,26,False
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m04,1,12,26,False
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m06,1,13,26,False
cli_7f_wrap__line340_438,codegeex4:9b,batch01__Cli_7__wrap__cli_7f_wrap_line340,m08,1,11,26,False
closure_106f_precedence__line605_680,codegeex4:9b,batch01__Closure_106__precedence__closure_106f_precedence_line605,m01,1,1886,1892,False
closure_106f_precedence__line605_680,codegeex4:9b,batch01__Closure_106__precedence__closure_106f_precedence_line605,m05,1,2,1892,False
closure_106f_precedence__line605_680,codegeex4:9b,batch01__Closure_106__precedence__closure_106f_precedence_line605,m06,1,1,1892,False
closure_106f_precedence__line605_680,codegeex4:9b,batch01__Closure_106__precedence__closure_106f_precedence_line605,m07,0,0,1892,n/a
closure_106f_precedence__line605_680,codegeex4:9b,batch01__Closure_106__precedence__closure_106f_precedence_line605,m08,1,1,1892,False
closure_125f_precedenceWithDefault__line1179_1254,codegeex4:9b,batch01__Closure_125__precedenceWithDefault__closure_125f_precedenceWithDefault_line1179,m01,0,0,3533,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m01,0,0,1,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m02,0,0,1,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m04,0,0,1,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m05,0,0,1,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m07,0,0,1,n/a
closure_1f_biggestPowerTen__line180_277,codegeex4:9b,batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,m08,0,0,1,n/a
closure_44f_bytecodeName__line179_262,codegeex4:9b,batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179,m02,0,0,1,n/a
closure_44f_bytecodeName__line179_262,codegeex4:9b,batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179,m04,0,0,1,n/a
closure_44f_bytecodeName__line179_262,codegeex4:9b,batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179,m06,0,0,1,n/a
closure_44f_findInstanceIdInfo__line139_191,codegeex4:9b,batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,m01,0,0,1,n/a
closure_44f_findInstanceIdInfo__line139_191,codegeex4:9b,batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,m03,0,0,1,n/a
closure_44f_findInstanceIdInfo__line139_191,codegeex4:9b,batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,m05,0,0,1,n/a
closure_44f_findInstanceIdInfo__line139_191,codegeex4:9b,batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,m06,0,0,1,n/a
closure_44f_findInstanceIdInfo__line139_191,codegeex4:9b,batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,m08,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m01,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m02,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m04,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m05,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m06,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m07,0,0,1,n/a
closure_44f_findPrototypeId__line459_537,codegeex4:9b,batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,m08,0,0,1,n/a
closure_44f_hasSideEffects__line950_1043,codegeex4:9b,batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,m01,0,0,1,n/a
closure_44f_hasSideEffects__line950_1043,codegeex4:9b,batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,m03,0,0,1,n/a
closure_44f_hasSideEffects__line950_1043,codegeex4:9b,batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,m05,0,0,1,n/a
closure_44f_hasSideEffects__line950_1043,codegeex4:9b,batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,m07,0,0,1,n/a
closure_44f_hasSideEffects__line950_1043,codegeex4:9b,batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,m08,0,0,1,n/a
closure_44f_visit__line381_459,codegeex4:9b,batch01__Closure_44__visit__closure_44f_visit_line381,m01,0,0,1,n/a
closure_44f_visit__line381_459,codegeex4:9b,batch01__Closure_44__visit__closure_44f_visit_line381,m06,0,0,1,n/a
closure_44f_visit__line381_459,codegeex4:9b,batch01__Closure_44__visit__closure_44f_visit_line381,m07,0,0,1,n/a
closure_44f_visit__line381_459,codegeex4:9b,batch01__Closure_44__visit__closure_44f_visit_line381,m08,0,0,1,n/a
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m01,1,1,100,False
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m02,1,5,100,False
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m03,0,0,100,n/a
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m05,0,0,100,n/a
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m06,1,72,100,False
closure_46f_mayBeExpression__line487_559,codegeex4:9b,batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,m07,0,0,100,n/a
closure_47f_tokenToName__line1461_1548,codegeex4:9b,batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461,m03,0,0,656,n/a
closure_47f_tokenToName__line1461_1548,codegeex4:9b,batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461,m06,0,0,656,n/a
closure_47f_tokenToName__line1461_1548,codegeex4:9b,batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461,m07,1,27,656,False
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m01,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m02,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m03,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m04,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m05,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m06,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m07,0,0,11,n/a
codec_11f_pattern__line405_496,codegeex4:9b,batch01__Codec_11__pattern__codec_11f_pattern_line405,m08,0,0,11,n/a
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m01,1,13,13,True
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m03,0,0,13,n/a
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m04,0,0,13,n/a
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m05,1,3,13,False
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m06,1,2,13,False
codec_13f_encode__line385_469,codegeex4:9b,batch01__Codec_13__encode__codec_13f_encode_line385,m07,1,11,13,False
codec_13f_handleG__line408_461,codegeex4:9b,batch01__Codec_13__handleG__codec_13f_handleG_line408,m01,1,3,5,False
codec_13f_handleG__line408_461,codegeex4:9b,batch01__Codec_13__handleG__codec_13f_handleG_line408,m02,0,0,5,n/a
codec_13f_handleG__line408_461,codegeex4:9b,batch01__Codec_13__handleG__codec_13f_handleG_line408,m08,1,1,5,False
codec_13f_handleJ__line514_545,codegeex4:9b,batch01__Codec_13__handleJ__codec_13f_handleJ_line514,m01,1,3,8,False
codec_13f_handleJ__line514_545,codegeex4:9b,batch01__Codec_13__handleJ__codec_13f_handleJ_line514,m03,1,1,8,False
codec_13f_handleJ__line514_545,codegeex4:9b,batch01__Codec_13__handleJ__codec_13f_handleJ_line514,m07,0,0,8,n/a
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m01,1,2,8,False
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m02,0,0,8,n/a
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m03,1,2,8,False
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m04,1,2,8,False
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m05,1,3,8,False
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m06,0,0,8,n/a
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m07,1,5,8,False
codec_13f_handleS__line597_642,codegeex4:9b,batch01__Codec_13__handleS__codec_13f_handleS_line597,m08,0,0,8,n/a
codec_17f_transcodeRemaining__line118_167,codegeex4:9b,batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,m01,1,2,19,False
codec_17f_transcodeRemaining__line118_167,codegeex4:9b,batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,m02,1,17,19,False
codec_17f_transcodeRemaining__line118_167,codegeex4:9b,batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,m06,1,3,19,False
codec_17f_transcodeRemaining__line118_167,codegeex4:9b,batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,m07,1,1,19,False
codec_17f_transcodeRemaining__line118_167,codegeex4:9b,batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,m08,1,1,19,False
codec_1f_handleC__line281_330,codegeex4:9b,batch01__Codec_1__handleC__codec_1f_handleC_line281,m01,1,1,4,False
codec_1f_handleC__line281_330,codegeex4:9b,batch01__Codec_1__handleC__codec_1f_handleC_line281,m03,1,1,4,False
codec_1f_handleC__line281_330,codegeex4:9b,batch01__Codec_1__handleC__codec_1f_handleC_line281,m06,1,3,4,False
codec_1f_handleC__line281_330,codegeex4:9b,batch01__Codec_1__handleC__codec_1f_handleC_line281,m07,1,2,4,False
codec_1f_handleG__line418_469,codegeex4:9b,batch01__Codec_1__handleG__codec_1f_handleG_line418,m02,0,0,3,n/a
codec_1f_handleG__line418_469,codegeex4:9b,batch01__Codec_1__handleG__codec_1f_handleG_line418,m04,1,1,3,False
codec_1f_handleG__line418_469,codegeex4:9b,batch01__Codec_1__handleG__codec_1f_handleG_line418,m05,0,0,3,n/a
codec_1f_handleG__line418_469,codegeex4:9b,batch01__Codec_1__handleG__codec_1f_handleG_line418,m07,0,0,3,n/a
codec_1f_handleG__line418_469,codegeex4:9b,batch01__Codec_1__handleG__codec_1f_handleG_line418,m08,1,2,3,False
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m01,1,2,5,False
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m02,0,0,5,n/a
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m03,0,0,5,n/a
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m04,0,0,5,n/a
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m05,1,1,5,False
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m06,0,0,5,n/a
codec_1f_handleJ__line526_556,codegeex4:9b,batch01__Codec_1__handleJ__codec_1f_handleJ_line526,m07,0,0,5,n/a
codec_1f_handleS__line612_660,codegeex4:9b,batch01__Codec_1__handleS__codec_1f_handleS_line612,m04,0,0,6,n/a
codec_9f_colognePhonetic__line293_383,codegeex4:9b,batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293,m02,1,2,3,False
codec_9f_colognePhonetic__line293_383,codegeex4:9b,batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293,m03,1,1,3,False
codec_9f_colognePhonetic__line293_383,codegeex4:9b,batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293,m04,1,1,3,False
