mutant_hash,org.apache.commons.math.dfp.DfpDecTest::testNextAfter,org.apache.commons.math.dfp.DfpDecTest::testRound,org.apache.commons.math.dfp.DfpDecTest::testRoundDecimal10,org.apache.commons.math.dfp.DfpMathTest::testPow,org.apache.commons.math.dfp.DfpMathTest::testSin,org.apache.commons.math.dfp.DfpTest::testAdd,org.apache.commons.math.dfp.DfpTest::testByteConstructor,org.apache.commons.math.dfp.DfpTest::testCeil,org.apache.commons.math.dfp.DfpTest::testCompare,org.apache.commons.math.dfp.DfpTest::testCopySign,org.apache.commons.math.dfp.DfpTest::testDivide,org.apache.commons.math.dfp.DfpTest::testDivideInt,org.apache.commons.math.dfp.DfpTest::testFloor,org.apache.commons.math.dfp.DfpTest::testIntConstructor,org.apache.commons.math.dfp.DfpTest::testIntValue,org.apache.commons.math.dfp.DfpTest::testLog10,org.apache.commons.math.dfp.DfpTest::testLog10K,org.apache.commons.math.dfp.DfpTest::testLongConstructor,org.apache.commons.math.dfp.DfpTest::testMultiply,org.apache.commons.math.dfp.DfpTest::testNextAfter,org.apache.commons.math.dfp.DfpTest::testPower10,org.apache.commons.math.dfp.DfpTest::testPower10K,org.apache.commons.math.dfp.DfpTest::testRemainder,org.apache.commons.math.dfp.DfpTest::testRint,org.apache.commons.math.dfp.DfpTest::testRound,org.apache.commons.math.dfp.DfpTest::testSqrt,org.apache.commons.math.dfp.DfpTest::testToString,org.apache.commons.math.util.FastMathTest::checkMissingFastMathClasses,org.apache.commons.math.util.FastMathTest::testAcosAccuracy,org.apache.commons.math.util.FastMathTest::testAsinAccuracy,org.apache.commons.math.util.FastMathTest::testAtan2,org.apache.commons.math.util.FastMathTest::testAtan2Accuracy,org.apache.commons.math.util.FastMathTest::testAtan2SpecialCases,org.apache.commons.math.util.FastMathTest::testAtanAccuracy,org.apache.commons.math.util.FastMathTest::testCbrtAccuracy,org.apache.commons.math.util.FastMathTest::testConstants,org.apache.commons.math.util.FastMathTest::testCosAccuracy,org.apache.commons.math.util.FastMathTest::testCoshAccuracy,org.apache.commons.math.util.FastMathTest::testDoubleNextAfterSpecialCases,org.apache.commons.math.util.FastMathTest::testDoubleScalbSpecialCases,org.apache.commons.math.util.FastMathTest::testExpAccuracy,org.apache.commons.math.util.FastMathTest::testExpSpecialCases,org.apache.commons.math.util.FastMathTest::testExpm1Accuracy,org.apache.commons.math.util.FastMathTest::testFloatNextAfterSpecialCases,org.apache.commons.math.util.FastMathTest::testFloatScalbSpecialCases,org.apache.commons.math.util.FastMathTest::testHyperbolic,org.apache.commons.math.util.FastMathTest::testHyperbolicInverses,org.apache.commons.math.util.FastMathTest::testLog10Accuracy,org.apache.commons.math.util.FastMathTest::testLog1pAccuracy,org.apache.commons.math.util.FastMathTest::testLogAccuracy,org.apache.commons.math.util.FastMathTest::testLogSpecialCases,org.apache.commons.math.util.FastMathTest::testMinMaxDouble,org.apache.commons.math.util.FastMathTest::testMinMaxFloat,org.apache.commons.math.util.FastMathTest::testNextAfter,org.apache.commons.math.util.FastMathTest::testPowAccuracy,org.apache.commons.math.util.FastMathTest::testPowSpecialCases,org.apache.commons.math.util.FastMathTest::testSinAccuracy,org.apache.commons.math.util.FastMathTest::testSinhAccuracy,org.apache.commons.math.util.FastMathTest::testTanAccuracy,org.apache.commons.math.util.FastMathTest::testTanhAccuracy,org.apache.commons.math.util.FastMathTest::testToDegrees,org.apache.commons.math.util.FastMathTest::testToRadians,n_tests_killing,killed
4f717f3c6dcdc3c06bf06a8b639950b4c0b828482cbb051aff8ed2cc1f1709b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518d2fa55932dbefc08bd2da63714622b8aa4e94243a2f0b40e55c97336f8499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
525b35bc54ce28d98e68153c0a40253b167ef5be0d0285718c5154fa138b9ece,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
525be759af5511cba4fd3ddda8b8461d5df704e5ad001ec0dcbfa8d7df2f057f,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
5c86b33ca21024ab588af18c163e292d62f30ef76aa26a6018fa1ed17ce30326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fab0e4f2c17e2eeb82d622f9512f5bd18dc61c20e8b6e2af3dfdd4f26c1e9fa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
60d0d56ad719a20baaf018775a89e0d7eae1a6d01b430957974d6418ad45ea5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c18fbdc137acd70debdf18c87be23e499ef33ed45fce73a332803701c7b2f04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
7c42293acb2e8593f46358534fca49ad4d1307dd81c590a0dd19cb74e7df00fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f29e7f387fd9c8ff2f9ac857dec4e90c19a403acc6546caad9ab2f8bbde3438,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
90c3cf2c0b05719b2715eafb2c16b86d88c78da10d31180e98d6a0573fa3772d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
983a29c109b81560527f86bbed40f098ae5fb3f6804fcd23b0df37864a658039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b7800016eb6e61d23ec9fe3b7fc54a02b203bae719ef43a2920411f3ea58c53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9c81293c23183c7b87a2fce12385b2641790b0d58491806de342e89d50c747d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9fce51fa9a99b71c4bd15171843d3072820c1bdf2e671aaaf0b04a027d052e5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8d2a7492133b8bcac707097bf7cf8b1edec6ade31c849b78ae2628086298864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
a9815fc259ad2377e4d9fad6c0c6f7d24ea1e2620ae7c3a3ba802dadfe4e7c00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
abce1d3a66ce8ebf9492e5329f49f08ed08c925dff72fb069b5e4ccc10338e6f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
aee7ae1f13729d0bacb2ef8b5929f3f7278a4ca5928c6bc0a35769e470fabf8c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
bf54566bbd56da8d3b7b8cba0c40e45be000ed754be2c90c742e663dc7b544c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0b7eb9b14ab3ef1da03b1822230460828cec47bdb9709ce44cfa20251ea028e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef1f1258f6721713eec5fbe19fc3c6fd6202f3fddeb875fee073d5e252bcc677,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
efac8ca3ea1b8af6f7eb9bd134f68784348c43a7e5a081447140f6455165aaf2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
efaeff54b3a220f791692d0c90e723aa7ef9511eee3593139283182c33dd0ea0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
f39b579d945bde6a902d27047090a2139fffb14f06e8f7fea7871145edffa35d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
f6d1f7c23e36c963e47406f1ab77cd1e97a94a05d973abcfe0038c538a95f731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
f7bcec2e3d0e53a7527a32a0a5849b470710c30213691bd28048e6b94e86f9a9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
f88744fc9c9351132256db299f9cf628b4a2e784312a3b53927dc7b9f51ca2e4,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,36,1
f93623467e5f9820b794c3e1e20eab599f6f490a796fef7f9517f84c6ac99510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fca3c7958649386c12ae15bdc0d19c61a86180c0d011cbb5038d654ba0cc88b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
