mutant_hash,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBuildBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testCross,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testIsometry,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testTetrahedron,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20040520,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20041003,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testChoppedHexagon,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testConcentric,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDifference,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDisjointPolygons,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testEmptyDifference,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testHole,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testIntersection,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testLineIntersection,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testOppositeHyperplanes,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSimplyConnected,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSingularPoint,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testStair,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnion,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnlimitedSubHyperplane,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testXor,n_tests_killing,killed
5d76e144a838b89eb88cb16bb8a63fc2d25e7a94d61d77e3405752358526d253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dacc3a45637909d5d4871cdba50011f9c0c12829a6b92664ec7f6aabbc227bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ac4d928a2e8f40d68f5c57695a79abbf79a734687531016ae5bc92f7aae2e4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ddd63c1f2c9b6e059641d64127d44f67d0c02263b1847ed35224af4806e4e11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,1
6e71c3691b867adb3b05f3d520571b3f76d25d03b82fc6d79627092fb7f3d938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731b4255f91783e5ee42b105fe2e05981882fcb46d864613d325ac451192b070,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,8,1
83198071bfe628a35014eeafe8e63002418d94bce9368eb3c7a809a41df5091a,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15,1
8e8d8e8c8b7b8d9cd306929887a61e20fd3156b49d458f610c0467ea09939254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cdedf19cd3082bf979c1a4944685424907a41045700893e013cbc2011b455be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f424275cb06b8fa78f916fbbd882b9f63b348d76169bc75a27fede140e439b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3b2b67795c243592033cc32cdaafa0e18a2e97582b7ff4ff806ff312ffe4ef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8cb4f35d6a0a6d8407a6746d97bbeadc72ece7ebb6898127c36836eba6a485a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bae0efb2b1de4198dec8f5325bda610c139c35a10ed8c7a9ffbb6592a3a4cad3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
c8c92df5af98e6c65efc21efcb03e74abca8c97e696f10da3d9ba4d7638d9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd42ec529f13707abb8c8a36a10a2ef696bc46c518ba12eb5e0539e6e5082f55,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,7,1
e27d89b71c961242328ab6c76a0cfabe420a746b649523558c9473832a19833f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb4e299b1aff9ccfd9193a23dec4288fbb246dba0d178b15b9598159dc747bd9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,7,1
f058522583534bc61dcfbda184e4d803cdeaa748f371cc767d05c8156aa8cf73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f446696b1c83d2a969a103f36c465df044f06a9190210403c14479ce2f8feec1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f461c335ae5439a8423f0386174d6c75aaeee71a671edf35df6abd9a9fcbaf4a,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,11,1
f49f5775d6868350c94a85dd6bf0bba38fe6beae9debe1e4f0e55956b7023dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4e4957009ccc71462707adb41ceafd42a13e6c784be5f0554e0d2f41ea0f26b,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,12,1
f531761d3c23af55785ed8d274139d555417ea98affbf829707c52d28b5c23b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f758cb06f52ff630fac3252658527884dfb7fbb42c7ad195915eb3c13123502e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f818231b2ea7bbcb51b88ec6fa5286276c3236702dcced5cbaf823b20891a120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9843e9c3fb6ce09553ac72ca3e72d03625b2de118c0c61eae50896b92e9ad82,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,12,1
fb009f5ff447f5340c5ff508eed05c91003cd8d396c672f68fe86af4435d983e,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
ffa228cf99e8e904947fc7303de0bb79cb757fa0a67b8046853bcf8cda1bda84,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,20,1
