mutant_hash,org.apache.commons.csv.CSVLexerTest::testComments,org.apache.commons.csv.CSVLexerTest::testDelimiterIsWhitespace,org.apache.commons.csv.CSVLexerTest::testEscapeBackspace,org.apache.commons.csv.CSVLexerTest::testEscapeFF,org.apache.commons.csv.CSVLexerTest::testEscapedCR,org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter2,org.apache.commons.csv.CSVLexerTest::testEscapedLF,org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue,org.apache.commons.csv.CSVLexerTest::testEscapedTab,org.apache.commons.csv.CSVLexerTest::testEscapingAtEOF,org.apache.commons.csv.CSVLexerTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVLexerTest::testIgnoreSurroundingSpacesAreDeleted,org.apache.commons.csv.CSVLexerTest::testNextToken2EmptyLines,org.apache.commons.csv.CSVLexerTest::testNextToken3,org.apache.commons.csv.CSVLexerTest::testNextToken3Escaping,org.apache.commons.csv.CSVLexerTest::testNextToken4,org.apache.commons.csv.CSVLexerTest::testNextToken5,org.apache.commons.csv.CSVLexerTest::testNextToken6,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithCRLF,org.apache.commons.csv.CSVParserTest::testGetRecordNumberWithLF,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVParserTest::testIterator,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest::testRoundtrip,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
7662924af5f7e61d354adfec7b5cfb7303e8bfe392c70ef9c08f57c5833854b9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,35,1
83b8cc8a8d918aa64f22f12b625c468a330f1d79bad1586edb5f2648d710fc01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84d26d32f312ddc2206dfa214f4cc0d49b2104695cb4cb6c9d8ad30a9cceccea,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1
8d0d8663c11f8003caac2cc8a237b5bafa65dcf898eb39c18f57d96600cb3eaf,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1
9bf2493a86086bf5d96d16cb1bb55be9ef891203980e892c6b961793083b790e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
c086f4c140e068c4202e50eca2f1c125d660d377a92fa7f5abbdcfe6143f5e01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc84a62ad275bd039cf928d1c873bcbd0a13f69179d5966bb236b3d93a5742ec,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1
df2c4a798605cc2628e5a3d88bcd3834c83e4feb04033cedb9ef114d902139d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
e031f9cb4eab9f5769177f8903512ca602de44a3e2e09817ff31ed441aaa1d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0c9ffdc56f13e59995da5a08cb5d7f7d4563aea95f9ccf305b3dc5d90b3cb95,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,30,1
ea4ac4e845dd600d9d816b13759cc00878526d06a8117dd85d36141ac46668e4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,34,1
fb1c25d5c384912b9127fe4ffa259b6d23c748eef43635c1a097d2f8077d9299,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
