mutant_hash,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMark,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet,org.jsoup.helper.DataUtilTest::firstMetaElementWithCharsetShouldBeUsedForDecoding,org.jsoup.helper.DataUtilTest::secondMetaElementWithContentTypeContainsCharsetParameter,org.jsoup.helper.DataUtilTest::supportsBOMinFiles,org.jsoup.helper.DataUtilTest::wrongMetaCharsetFallback,org.jsoup.helper.W3CDomTest::convertsGoogle,org.jsoup.helper.W3CDomTest::convertsGoogleLocation,org.jsoup.helper.W3CDomTest::namespacePreservation,org.jsoup.integration.ConnectTest::canConnectToLocalServer,org.jsoup.integration.ConnectTest::doesGet,org.jsoup.integration.ConnectTest::doesPost,org.jsoup.integration.ConnectTest::doesPut,org.jsoup.integration.ConnectTest::fetchURIWithWihtespace,org.jsoup.integration.ConnectTest::fetchURl,org.jsoup.integration.ConnectTest::postFiles,org.jsoup.integration.ConnectTest::sendsRequestBody,org.jsoup.integration.ConnectTest::sendsRequestBodyJsonWithData,org.jsoup.integration.ConnectTest::sendsRequestBodyJsonWithoutData,org.jsoup.integration.ConnectTest::sendsRequestBodyWithUrlParams,org.jsoup.integration.ParseTest::testBaidu,org.jsoup.integration.ParseTest::testBaiduVariant,org.jsoup.integration.ParseTest::testBinary,org.jsoup.integration.ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote,org.jsoup.integration.ParseTest::testGoogleSearchIpod,org.jsoup.integration.ParseTest::testHtml5Charset,org.jsoup.integration.ParseTest::testLowercaseUtf8Charset,org.jsoup.integration.ParseTest::testNewsHomepage,org.jsoup.integration.ParseTest::testNytArticle,org.jsoup.integration.ParseTest::testSmhBizArticle,org.jsoup.integration.ParseTest::testYahooArticle,org.jsoup.integration.ParseTest::testYahooJp,org.jsoup.nodes.DocumentTest::testLocation,org.jsoup.nodes.DocumentTest::testShiftJisRoundtrip,org.jsoup.parser.HtmlParserTest::testInvalidTableContents,org.jsoup.parser.HtmlParserTest::testTemplateInsideTable,org.jsoup.parser.XmlTreeBuilderTest::testDetectCharsetEncodingDeclaration,org.jsoup.parser.XmlTreeBuilderTest::testSupplyParserToDataStream,n_tests_killing,killed
6528dba9d5f97b0613bb5f46d7698b4c373d7d88f9d90f89c4d45cac3a4504c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a01432767c3f7106837b0ae5b9bfa70e2e5817a9e227a65d5191479e9451ecf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ea24ac961e617030edc715431da4a30f123543c170475625d9f70acd87ce2ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f650ecaf8ed0834ee5f43d6aa94544cfd11bf00f0fe4b1a0effacb3c0c64fd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85de3e46fb1d8b42ea0bad4a173cff3f702eacd740f8365345ae07fada2d71bc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1
860002d44a2a4d1671d43e4ff0cc8b8de646e211542457b77f6c7e85d5bcd8c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9551182763041ad57afc9baa82a695035b30283f20ec1b2c92e0af57bcca1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979b3ac8e04627284390f775b488b0a77784eca6c7e68657810a191dc6bd386c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a504bf0e51942167946b640d26745252b91bf69720d368d2126d43aad0f81746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9d4f1074318d7105a93bf62ffec44f2883fd0cf8547bb8eba656af71728dd55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
ac0c694be7c34f54388c041cb219ac01884fd6ad30d1cfaf46e958de8cd6ecba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ad794056897d94bd3f5541eabaf033e2572eca21cda4583aca1a6d0ddeae383b,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,20,1
b538bee82008c6b8f036d3609d7e2f5d7e2c3dbfa8979fba5d887b06570cbdfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5d2abc4cf0296914623a60f9a8340b8e8a4c0787802c06be924fb91d61bbf53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b87763f351d8e1737c3d54f75305b90a7f607a381c106a684d54f324e4ca8835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bc8b4a953de6e2869d5c45ff6cc3586303b8463cf06d2bdb848a736da6c6fba0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca9582483ea1c6612a1270cc632a650b3529688ad34aca0422df5cd85290b933,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
cd6f1861a799b5d84b7fa198fb67a541a9c8ff71f08b855f4951c9548b4a9844,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1
d626eca4dcf0ebe283a85522e18b2a423a2bb67c9d6b4f108d522bf83b00a313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1
d65c108dc1b1221b5e898f73a69ee1e93d16c314592b8caa9738db1a56743b66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
df3a438f595bfc5bb173474d9a51dac2ec2642cdb79d8a0e95ea990c2fd430f1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1
e11623128fe24116a0ef8891761a289dfbc81ad657d20e33520d3536da02de5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e99ba96c2909cdc3143618422f9f10384fdec5a00b4157a9f4e135ff9df2713f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f19708a6cf0f0cd1cf6cafa45812444870609f562b91c72542dd5ef9666eb26a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4d0d77d709545a36fb8d2e191e6671a301f3dab6649fc23e2d54825adb6c818,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,29,1
fabc3e4a069dcc8c3b8827a33a7cf01ecadd9dc79123e2e1a36f61d9eb5b8e2d,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
