Return valid JSON only. Do not include markdown fences. Do not include any text outside the JSON.

You are an expert in software mutation testing for C programs.

Below is a C function. Before generating mutants, reason briefly about
its behavior: identify the key computational properties and boundary
conditions that a test should verify.

Function:
  1: static int
  2: _TIFFWriteDirectory(TIFF* tif, int done)
  3: {
  4: 	uint16 dircount;
287: 			TIFFSwabArrayOfLong(&dir->tdir_count, 2);
288: 		}
289: 		dircount = (uint16) nfields;
290: 		TIFFSwabShort(&dircount);
291: 		TIFFSwabLong(&diroff);
292: 	}
293: 	(void) TIFFSeekFile(tif, tif->tif_diroff, SEEK_SET);
294: 	if (!WriteOK(tif, &dircount, sizeof (dircount))) {
295: 		TIFFErrorExt(tif->tif_clientdata, tif->tif_name, "Error writing directory count");
296: 		goto bad;
297: 	}
298: 	if (!WriteOK(tif, data, dirsize)) {
299: 		TIFFErrorExt(tif->tif_clientdata, tif->tif_name, "Error writing directory contents");
300: 		goto bad;
301: 	}
302: 	if (!WriteOK(tif, &diroff, sizeof (diroff))) {
303: 		TIFFErrorExt(tif->tif_clientdata, tif->tif_name, "Error writing directory link");
304: 		goto bad;
305: 	}
306: 	if (done) {
307: 		TIFFFreeDirectory(tif);
308: 		tif->tif_flags &= ~TIFF_DIRTYDIRECT;
309: 		(*tif->tif_cleanup)(tif);
310: 
311: 		/*
312: 		* Reset directory-related state for subsequent
313: 		* directories.
314: 		*/
315: 		TIFFCreateDirectory(tif);
316: 	}
317: 	_TIFFfree(data);
318: 	return (1);
319: bad:
320: 	_TIFFfree(data);
321: 	return (0);
322: }

Then, generate exactly 8 mutants. Each mutant must:
- Violate a distinct behavioral property identified in your reasoning
- Change executable code (not only comments)
- Compile successfully as valid C

The "line" field must refer to the numbered function lines shown above.
The "precode" field must match the original line content without the numeric prefix.

CONSTRAINTS — do not propose any of the following:
1. No changes to #include directives or header files.
2. No changes to macro definitions or macro-level edits. Treat macro invocations as opaque; mutate only their arguments if they appear within the target lines.
3. No changes to struct, typedef, or enum declarations.
4. No changes to the function signature (return type, parameter types, parameter names).
5. No changes outside the numbered lines shown above.

Output format (JSON):
{
  "mutants": [
    {
      "id": 1,
      "reasoning": "<one sentence: which behavioral property is violated>",
      "line": <line number>,
      "precode": "<original line>",
      "aftercode": "<mutated line>"
    }
  ]
}
