catalog,target_id,subject,file_path,function_name,start_line,end_line,has_mapping,anomaly_types,confidence,notes,source_logs
defects4j_final_catalog,collections_18f_swapPosition__line1092_1181,Collections_18,src/main/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,swapPosition,1092,1181,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,compress_7f_paxHeaders__line233_302,Compress_7,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,paxHeaders,233,302,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,csv_3f_validate__line171_200,Csv_3,src/main/java/org/apache/commons/csv/CSVFormat.java,validate,171,200,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jacksoncore_22f__parseAposName__line1696_1793,JacksonCore_22,src/main/java/com/fasterxml/jackson/core/json/async/NonBlockingJsonParser.java,_parseAposName,1696,1793,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jacksonxml_1f_serializeFields__line155_227,JacksonXml_1,src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,serializeFields,155,227,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jacksonxml_1f_isOutputAsCData__line43_141,JacksonXml_1,src/main/java/com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,isOutputAsCData,43,141,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jacksonxml_1f_serializeFieldsFiltered__line229_303,JacksonXml_1,src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,serializeFieldsFiltered,229,303,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jacksonxml_1f_findAnnotation__line82_128,JacksonXml_1,src/main/java/com/fasterxml/jackson/dataformat/xml/jaxb/XmlJaxbAnnotationIntrospector.java,findAnnotation,82,128,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jsoup_41f_userAgent__line66_159,Jsoup_41,src/main/java/org/jsoup/Connection.java,userAgent,66,159,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jsoup_41f_referrer__line90_159,Jsoup_41,src/main/java/org/jsoup/Connection.java,referrer,90,159,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jsoup_7f_execute__line305_349,Jsoup_7,src/main/java/org/jsoup/helper/HttpConnection.java,execute,305,349,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jxpath_1f_jjCanMove_2__line1658_1715,JxPath_1,src/java/org/apache/commons/jxpath/ri/parser/XPathParserTokenManager.java,jjCanMove_2,1658,1715,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,jxpath_1f_jjCanMove_1__line1602_1657,JxPath_1,src/java/org/apache/commons/jxpath/ri/parser/XPathParserTokenManager.java,jjCanMove_1,1602,1657,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,math_1f_parse__line302_394,Math_1,src/main/java/org/apache/commons/math3/linear/RealMatrixFormat.java,parse,302,394,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_6f_create__line1387_1482,Time_6,src/main/java/org/joda/time/tz/DateTimeZoneBuilder.java,create,1387,1482,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_22f_create__line1395_1477,Time_22,JodaTimeContrib/gwt/src/main/gwt-emul/org/joda/time/emul/org/joda/time/tz/DateTimeZoneBuilder.java,create,1395,1477,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_1f_secondOfMinute__line261_358,Time_1,src/main/java/org/joda/time/Chronology.java,secondOfMinute,261,358,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_25f_readResolve__line521_573,Time_25,src/main/java/org/joda/time/DateTimeFieldType.java,readResolve,521,573,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_22f_startElement__line315_375,Time_22,JodaTimeContrib/jsptags/src/java/org/joda/time/contrib/jsptag/JodaTagLibraryValidator.java,startElement,315,375,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_1f_secondOfDay__line268_358,Time_1,src/main/java/org/joda/time/Chronology.java,secondOfDay,268,358,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
defects4j_final_catalog,time_1f_minutes__line277_358,Time_1,src/main/java/org/joda/time/Chronology.java,minutes,277,358,False,,no_explicit_anomaly,no explicit collector anomaly found in available logs,
