dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_1,fe1c49d6e89c30b0b7ed41eb5b69219765bee205461ff1e44a0ad7f668c8b258,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,0:POS,com.google.javascript.jscomp.NodeUtil,precedence(int),607,17183,0,1,1:LVR:0:POS:com.google.javascript.jscomp.NodeUtil@precedence(int):607:17183:0 |==> 1
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_12,6f8379fe75306ff0cbcd18d7bd5ddca1ebd5adac549e785fa5e5b5756272d3d7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),623,17702,5,-5,12:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):623:17702:5 |==> -5
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_13,56b1bb5e950fd2d7917a75654f946ddbe585e8ae01360aaf08358c16e1312038,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),624,17737,6,0,13:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):624:17737:6 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_14,7369ba5401fde418f24f949a7175dce9bffd5601a6f87e6f34ed9795c320e6e1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),624,17737,6,-6,14:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):624:17737:6 |==> -6
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_15,eaf6d9f69ab4d813ff99ddc89ace66574b2b2e9c33662fb2c68fa6a4e6757448,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),625,17772,7,0,15:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):625:17772:7 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_16,5eb3795f4cb9a21abd51213a9e0441a515f4cf0b8fd2f52b79272586698f8eaf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),625,17772,7,-7,16:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):625:17772:7 |==> -7
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_17,588f9962b5c7d1891e0a2fc5b33d4560fb22e44a76c1f23580f26456029f7361,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),629,17872,8,0,17:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):629:17872:8 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_18,349321f128e7152434d2c25c16b3e2c08b3b6920788c3e8de58532500dcc555b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),629,17872,8,-8,18:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):629:17872:8 |==> -8
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_19,ad43a7f5aba268c3d6a0cfd2153ff997644a55062ced3184e82af0967952fddd,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),635,18020,9,0,19:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):635:18020:9 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_20,fa44cfede17d93dc3dbfdc1af17b3ac3f29aad9f46239f348cf9b5d33b21177a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),635,18020,9,-9,20:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):635:18020:9 |==> -9
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_21,dd5dbe8c93faef3e5882c760bffcdb52fa96365f38fa98402ada5b17c8ea4840,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),638,18099,10,0,21:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):638:18099:10 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_22,7f6e96803d560a9850f131b8c820e2cbc33d9869afe886cc337990738da86675,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),638,18099,10,-10,22:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):638:18099:10 |==> -10
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_23,2c4c01eeebf8162283d68c9e59fb97a4bd86e6a3472a192ed45a4d119f7d67e2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),640,18157,11,0,23:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):640:18157:11 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_24,e98bde743a2e6158039f624be6fb55c9280514ebc4479483096d362ceaac3286,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),640,18157,11,-11,24:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):640:18157:11 |==> -11
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_25,fc1b0cb00645529195f68502fb7c8f60b947af17a55141d6830c986f4874f620,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),643,18237,12,0,25:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):643:18237:12 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_26,fa8b7ecf64a156a0b348a3554f745fc588bb8b324eafb8186fa57aa764a51bea,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),643,18237,12,-12,26:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):643:18237:12 |==> -12
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_27,c00979ba5618d912d711e2e074c6d862435d53c3d7b5de2c29fd0adac7531a27,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),653,18482,13,0,27:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):653:18482:13 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_28,893aba4fa7e5248ba8f6bae523cb607a2a6a28ca954b813204dd112bcbef997a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),653,18482,13,-13,28:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):653:18482:13 |==> -13
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_29,0437b5a10b71b698c4cf6bccd816e7a696bb903aef16d371b8d9ad502e2711f8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:0,com.google.javascript.jscomp.NodeUtil,precedence(int),674,18967,15,0,29:LVR:POS:0:com.google.javascript.jscomp.NodeUtil@precedence(int):674:18967:15 |==> 0
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_30,24e9d89c5e23cba607b256d69af41aa686117194d97cfc430163d295ed9aa4ba,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,POS:NEG,com.google.javascript.jscomp.NodeUtil,precedence(int),674,18967,15,-15,30:LVR:POS:NEG:com.google.javascript.jscomp.NodeUtil@precedence(int):674:18967:15 |==> -15
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_31,937d50d64f07d50ea0534c42d41dbe04d87f0714e56bca884a5d4c4fa09cf61a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,<CLASS>:<EMPTY>,com.google.javascript.jscomp.NodeUtil,precedence(int),676,19003,"""Unknown precedence for ""","""""","31:LVR:<CLASS>:<EMPTY>:com.google.javascript.jscomp.NodeUtil@precedence(int):676:19003:""Unknown precedence for "" |==> """""
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_32,a5860fd45bafc93d74e88103f89cdc47d076081dcf6c130ec8a0b0c399e45b77,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,<CLASS>:<EMPTY>,com.google.javascript.jscomp.NodeUtil,precedence(int),678,19118,""" (type ""","""""","32:LVR:<CLASS>:<EMPTY>:com.google.javascript.jscomp.NodeUtil@precedence(int):678:19118:"" (type "" |==> """""
defects4j,Closure_106,closure_106f_precedence__line605_680,major_all_supported_local_full,precedence,major_33,cd02c393fdca848ceb97309e22b4f53734ea4bf661734297a36d864ab1fad807,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full/targets/closure_106f_precedence__line605_680/run.log,LVR,<CLASS>:<EMPTY>,com.google.javascript.jscomp.NodeUtil,precedence(int),678,19137,""")""","""""","33:LVR:<CLASS>:<EMPTY>:com.google.javascript.jscomp.NodeUtil@precedence(int):678:19137:"")"" |==> """""
