run_name,run_dir,created_at_utc,started_at_utc,completed_at_utc,run_mode,run_status,failure_reason,failure_message,dataset,subject_id,version,target_id,target_id_meta,batch_id,run_group_id,run_index_for_target,runs_per_target,function_name,file_path,start_line,end_line,language,experiment_name,mutant_source,model_name,model_provider,prompt_name,prompt_version,temperature,n_requested_mutants,n_accepted_mutants,n_rejected_mutants,acceptance_rate,rej_duplicate_mutant,rej_unchanged_mutant,rej_non_executable_change,rej_non_executable_structural_change,rej_precode_not_found,rej_ambiguous_precode_match,rej_missing_or_invalid_aftercode,rej_missing_or_invalid_precode,generation_mode,dataset_split,missing_target_tests_policy,target_test_coverage_status,eligible_test_count,target_tests_csv_path,parsed_mutants_integrity,loaded_mutant_count,recovered_mutant_count,missing_mutant_count,notes,requested_mutant_count,indexed_input_row_count,indexed_used_row_count,deduplicated,total_mutants,build_successes,executable_mutants,killed_mutants,survived_mutants,baseline_failures,build_success_rate,executable_yield,mutation_score,parse_failed,parse_error_message,rej_invalid_json_response,indexed_rejected_artifact_count,target_run_count,new_mutants_for_target_in_run,repeated_mutants_from_prior_runs,cumulative_unique_mutants_for_target
batch11__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,harness/executions/java/llm/16/batch11__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,2026-07-11T18:38:11.926277+00:00,2026-08-01T01:30:21.971615+00:00,2026-08-01T01:30:25.924527+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target chart_6f_calculateLabelAnchorPoint__line899_999,defects4j,Chart_6,f,chart_6f_calculateLabelAnchorPoint__line899_999,chart_6f_calculateLabelAnchorPoint__line899,batch11,batch11__chart_6f_calculateLabelAnchorPoint_line899,1,1,calculateLabelAnchorPoint,source/org/jfree/chart/renderer/category/BarRenderer.java,899,999,java,batch11__Chart_6__calculateLabelAnchorPoint__chart_6f_calculateLabelAnchorPoint_line899,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,12,3,0.75,0,0,0,3,0,0,,,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,12,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,12,,,,,,,,,,,,,False,,0,3,6,0,0,0
batch11__Chart_6__equals__chart_6f_equals_line1488,harness/executions/java/llm/16/batch11__Chart_6__equals__chart_6f_equals_line1488,2026-07-11T18:40:37.795692+00:00,2026-08-01T01:44:22.857371+00:00,2026-08-01T01:45:44.157933+00:00,overwrite,ok,,,defects4j,Chart_6,f,chart_6f_equals__line1488_1582,chart_6f_equals__line1488,batch11,batch11__chart_6f_equals_line1488,1,1,equals,source/org/jfree/chart/plot/SpiderWebPlot.java,1488,1582,java,batch11__Chart_6__equals__chart_6f_equals_line1488,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,15,1,0.9375,0,0,0,1,0,0,,,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,15,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,15,15,15,True,15,10,10,2,8,0,0.6666666666666666,0.6666666666666666,0.2,False,,0,1,6,15,0,15
batch11__Cli_14__appendUsage__cli_14f_appendUsage_line298,harness/executions/java/llm/16/batch11__Cli_14__appendUsage__cli_14f_appendUsage_line298,2026-07-11T18:44:33.128321+00:00,2026-08-01T01:55:10.206031+00:00,2026-08-01T01:55:18.251848+00:00,overwrite,ok,,,defects4j,Cli_14,f,cli_14f_appendUsage__line298_390,cli_14f_appendUsage__line298,batch11,batch11__cli_14f_appendUsage_line298,1,1,appendUsage,src/java/org/apache/commons/cli2/option/GroupImpl.java,298,390,java,batch11__Cli_14__appendUsage__cli_14f_appendUsage_line298,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,1,15,0.0625,0,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,31,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,1,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,1,1,1,True,1,0,0,0,0,0,0.0,0.0,,False,,0,15,6,1,0,1
batch11__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,harness/executions/java/llm/16/batch11__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,2026-07-11T18:46:36.728411+00:00,2026-08-01T01:55:38.299556+00:00,2026-08-01T01:55:51.607447+00:00,overwrite,ok,,,defects4j,Cli_1,f,cli_1f_findWrapPos__line789_833,cli_1f_findWrapPos__line789,batch11,batch11__cli_1f_findWrapPos_line789,1,1,findWrapPos,src/java/org/apache/commons/cli/HelpFormatter.java,789,833,java,batch11__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,7,9,0.4375,4,0,0,5,0,0,,,batch_once,,report_and_skip,mapped,7,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,7,7,7,True,7,6,6,3,3,0,0.8571428571428571,0.8571428571428571,0.5,False,,0,9,6,7,0,7
batch11__Cli_1__parse__cli_1f_parse_line129,harness/executions/java/llm/16/batch11__Cli_1__parse__cli_1f_parse_line129,2026-07-11T18:48:31.090342+00:00,2026-08-01T01:56:53.478431+00:00,2026-08-01T01:57:07.297729+00:00,overwrite,ok,,,defects4j,Cli_1,f,cli_1f_parse__line129_220,cli_1f_parse__line129,batch11,batch11__cli_1f_parse_line129,1,1,parse,src/java/org/apache/commons/cli/Parser.java,129,220,java,batch11__Cli_1__parse__cli_1f_parse_line129,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,10,6,0.625,5,0,0,1,0,0,,,batch_once,,report_and_skip,mapped,74,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,10,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,10,10,10,True,10,7,7,7,0,0,0.7,0.7,1.0,False,,0,6,6,10,0,10
batch11__Cli_28__handleShortAndLongOption__cli_28f_handleShortAndLongOption_line375,harness/executions/java/llm/16/batch11__Cli_28__handleShortAndLongOption__cli_28f_handleShortAndLongOption_line375,2026-07-11T18:45:00.672734+00:00,2026-08-01T01:55:18.585565+00:00,2026-08-01T01:55:20.097186+00:00,overwrite,no_coverage,no_mapped_target_tests,No mapped target tests found in harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv for target cli_28f_handleShortAndLongOption__line375_463,defects4j,Cli_28,f,cli_28f_handleShortAndLongOption__line375_463,cli_28f_handleShortAndLongOption__line375,batch11,batch11__cli_28f_handleShortAndLongOption_line375,1,1,handleShortAndLongOption,src/java/org/apache/commons/cli/DefaultParser.java,375,463,java,batch11__Cli_28__handleShortAndLongOption__cli_28f_handleShortAndLongOption_line375,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,11,5,0.6875,5,0,0,0,0,0,,,batch_once,,report_and_skip,no_coverage,0,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,11,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,11,,,,,,,,,,,,,False,,0,5,6,0,0,0
batch11__Cli_30__createValue__cli_30f_createValue_line60,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60,2026-07-11T18:47:17.824917+00:00,2026-08-01T01:56:11.467496+00:00,2026-08-01T01:56:27.061059+00:00,overwrite,ok,,,defects4j,Cli_30,f,cli_30f_createValue__line60_102,cli_30f_createValue__line60,batch11,batch11__cli_30f_createValue_line60,1,1,createValue,src/main/java/org/apache/commons/cli/TypeHandler.java,60,102,java,batch11__Cli_30__createValue__cli_30f_createValue_line60,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,11,4,0.6875,4,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,6,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,11,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,11,11,11,True,11,10,10,10,0,0,0.9090909090909091,0.9090909090909091,1.0,False,,0,4,6,11,0,11
batch11__Cli_30__processProperties__cli_30f_processProperties_line252,harness/executions/java/llm/16/batch11__Cli_30__processProperties__cli_30f_processProperties_line252,2026-07-11T18:47:44.084953+00:00,2026-08-01T01:56:27.384104+00:00,2026-08-01T01:56:37.334733+00:00,overwrite,ok,,,defects4j,Cli_30,f,cli_30f_processProperties__line252_305,cli_30f_processProperties__line252,batch11,batch11__cli_30f_processProperties_line252,1,1,processProperties,src/main/java/org/apache/commons/cli/Parser.java,252,305,java,batch11__Cli_30__processProperties__cli_30f_processProperties_line252,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,6,10,0.375,3,0,0,1,0,0,,,batch_once,,report_and_skip,mapped,64,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,6,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,6,6,6,True,6,1,1,0,1,0,0.16666666666666666,0.16666666666666666,0.0,False,,0,10,6,6,0,6
batch11__Cli_3__createValue__cli_3f_createValue_line59,harness/executions/java/llm/16/batch11__Cli_3__createValue__cli_3f_createValue_line59,2026-07-11T18:46:58.340050+00:00,2026-08-01T01:55:51.946283+00:00,2026-08-01T01:56:11.126379+00:00,overwrite,ok,,,defects4j,Cli_3,f,cli_3f_createValue__line59_101,cli_3f_createValue__line59,batch11,batch11__cli_3f_createValue_line59,1,1,createValue,src/java/org/apache/commons/cli/TypeHandler.java,59,101,java,batch11__Cli_3__createValue__cli_3f_createValue_line59,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,15,1,0.9375,1,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,1,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,15,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,15,15,15,True,15,15,15,10,5,0,1.0,1.0,0.6666666666666666,False,,0,1,6,15,0,15
batch11__Cli_40__flatten__cli_40f_flatten_line94,harness/executions/java/llm/16/batch11__Cli_40__flatten__cli_40f_flatten_line94,2026-07-11T18:45:46.298633+00:00,2026-08-01T01:55:23.830792+00:00,2026-08-01T01:55:36.843707+00:00,overwrite,ok,,,defects4j,Cli_40,f,cli_40f_flatten__line94_174,cli_40f_flatten__line94,batch11,batch11__cli_40f_flatten_line94,1,1,flatten,src/main/java/org/apache/commons/cli/PosixParser.java,94,174,java,batch11__Cli_40__flatten__cli_40f_flatten_line94,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,5,11,0.3125,0,0,0,0,0,0,,,batch_once,,report_and_skip,mapped,76,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,5,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,5,5,5,True,5,5,5,2,3,0,1.0,1.0,0.4,False,,0,11,6,5,0,5
batch11__Cli_40__parse__cli_40f_parse_line144,harness/executions/java/llm/16/batch11__Cli_40__parse__cli_40f_parse_line144,2026-07-11T18:46:08.790117+00:00,2026-08-01T01:55:37.177173+00:00,2026-08-01T01:55:38.140739+00:00,overwrite,failure,ValueError,No generated mutants found for execute_only mode in harness/executions/java/llm/16/batch11__Cli_40__parse__cli_40f_parse_line144/generation,defects4j,Cli_40,f,cli_40f_parse__line144_244,cli_40f_parse__line144,batch11,batch11__cli_40f_parse_line144,1,1,parse,src/main/java/org/apache/commons/cli/Parser.java,144,244,java,batch11__Cli_40__parse__cli_40f_parse_line144,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,0,16,0,0,0,0,0,0,0,,,batch_once,,report_and_skip,,,,ok,0,0,0,No generated mutants found for execute_only mode in harness/executions/java/llm/16/batch11__Cli_40__parse__cli_40f_parse_line144/generation,0,,,,,,,,,,,,,True,"Failed to parse extracted JSON object: Expecting ',' delimiter: line 91 column 21 (char 3402)",1,0,6,0,0,0
batch11__Cli_7__appendUsage__cli_7f_appendUsage_line258,harness/executions/java/llm/16/batch11__Cli_7__appendUsage__cli_7f_appendUsage_line258,2026-07-11T18:44:10.062650+00:00,2026-08-01T01:49:47.100140+00:00,2026-08-01T01:55:09.683887+00:00,overwrite,ok,,,defects4j,Cli_7,f,cli_7f_appendUsage__line258_320,cli_7f_appendUsage__line258,batch11,batch11__cli_7f_appendUsage_line258,1,1,appendUsage,src/java/org/apache/commons/cli2/option/ArgumentImpl.java,258,320,java,batch11__Cli_7__appendUsage__cli_7f_appendUsage_line258,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,13,3,0.8125,0,0,0,3,0,0,,,batch_once,,report_and_skip,mapped,27,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,13,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,13,13,13,True,13,13,13,10,3,0,1.0,1.0,0.7692307692307693,False,,0,3,6,13,0,13
batch11__Cli_7__process__cli_7f_process_line156,harness/executions/java/llm/16/batch11__Cli_7__process__cli_7f_process_line156,2026-07-11T18:48:03.956766+00:00,2026-08-01T01:56:37.671382+00:00,2026-08-01T01:56:53.147642+00:00,overwrite,ok,,,defects4j,Cli_7,f,cli_7f_process__line156_235,cli_7f_process__line156,batch11,batch11__cli_7f_process_line156,1,1,process,src/java/org/apache/commons/cli2/option/GroupImpl.java,156,235,java,batch11__Cli_7__process__cli_7f_process_line156,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,5,11,0.3125,1,0,1,3,0,0,,,batch_once,,report_and_skip,mapped,32,harness/datasets/coverage/catalogs/defects4j_final_catalog/target_tests.csv,ok,5,0,0,Prompt file: prompts/line_edit_prompt_v1.txt; Config file: configs/tmp_batch_config.json,5,5,5,True,5,5,5,4,1,0,1.0,1.0,0.8,False,,0,11,6,5,0,5
batch11__Cli_7__wrap__cli_7f_wrap_line340,harness/executions/java/llm/16/batch11__Cli_7__wrap__cli_7f_wrap_line340,2026-07-11T18:45:23.832330+00:00,2026-08-01T01:55:22.559323+00:00,2026-08-01T01:55:23.671844+00:00,overwrite,failure,ValueError,No generated mutants found for execute_only mode in harness/executions/java/llm/16/batch11__Cli_7__wrap__cli_7f_wrap_line340/generation,defects4j,Cli_7,f,cli_7f_wrap__line340_438,cli_7f_wrap__line340,batch11,batch11__cli_7f_wrap_line340,1,1,wrap,src/java/org/apache/commons/cli2/util/HelpFormatter.java,340,438,java,batch11__Cli_7__wrap__cli_7f_wrap_line340,llm,codegeex4:9b,ollama,line_edit_prompt_v1,v1,0.8,16,0,16,0,0,0,16,0,0,0,,,batch_once,,report_and_skip,,,,ok,0,0,0,No generated mutants found for execute_only mode in harness/executions/java/llm/16/batch11__Cli_7__wrap__cli_7f_wrap_line340/generation,0,,,,,,,,,,,,,False,,0,16,6,0,0,0
