mutant_ids,group_size,excess_duplicates
['cxx_eq_to_ne:/experiment/src/gzip.c:1371:53'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1381:45'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1385:44'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1390:44'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1403:17'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1409:22'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1412:44'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:1414:24'],1,0
['cxx_ge_to_gt:/experiment/src/gzip.c:1348:27'],1,0
['cxx_ge_to_gt:/experiment/src/gzip.c:1401:16'],1,0
['cxx_ge_to_lt:/experiment/src/gzip.c:1348:27'],1,0
['cxx_ge_to_lt:/experiment/src/gzip.c:1401:16'],1,0
['cxx_gt_to_ge:/experiment/src/gzip.c:1337:60'],1,0
['cxx_gt_to_le:/experiment/src/gzip.c:1337:60'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:1295:23'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:1302:23'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:1295:23'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:1302:23'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1273:20'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1283:33'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1290:36'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1297:32'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1308:19'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1317:36'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1325:35'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1336:33'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1340:45'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1363:31'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1364:31'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:1377:31'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/gzip.c:1264:12'],1,0
['cxx_eq_to_ne:/experiment/src/gzip.c:546:16'],1,0
['cxx_gt_to_ge:/experiment/src/gzip.c:546:46'],1,0
['cxx_gt_to_ge:/experiment/src/gzip.c:579:38'],1,0
['cxx_gt_to_le:/experiment/src/gzip.c:546:46'],1,0
['cxx_gt_to_le:/experiment/src/gzip.c:579:38'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:458:26'],1,0
['cxx_le_to_gt:/experiment/src/gzip.c:458:48'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:458:26'],1,0
['cxx_le_to_lt:/experiment/src/gzip.c:458:48'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:421:11'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:534:17'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:535:17'],1,0
['cxx_lt_to_ge:/experiment/src/gzip.c:573:23'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:421:11'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:534:17'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:535:17'],1,0
['cxx_lt_to_le:/experiment/src/gzip.c:573:23'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:426:13'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:451:54'],1,0
['cxx_ne_to_eq:/experiment/src/gzip.c:569:20'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/gzip.c:470:18'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/gzip.c:509:20'],1,0
['cxx_post_inc_to_post_dec:/experiment/src/gzip.c:574:35'],1,0
['cxx_sub_to_add:/experiment/src/gzip.c:422:28'],1,0
['cxx_sub_to_add:/experiment/src/gzip.c:523:26'],1,0
['cxx_sub_to_add:/experiment/src/gzip.c:537:23'],1,0
