dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_1,b5441bfa5a8f0b1b95b3408cfdc4e7e35a04e1b4d3f23e711390d7e1be8e4a9e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,binaryToHexDigitMsb0_4bits(boolean[]),383,13175,0,1,1:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[]):383:13175:0 |==> 1
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_12,55d5873cb76857c894a47e8f7e60b644fc6352d1fb293d5a5ad3cafa6d87f3e7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",414,14360,2,0,"12:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):414:14360:2 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_13,3614a79f45acf8f44f925d33dbc00a43e35932905c47be85d9dba14d40bcbd27,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",414,14360,2,-2,"13:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):414:14360:2 |==> -2"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_14,622a6b87d17d8b236a5776cfc8c03810874614c4263e406c9d5b5c3060c8ea9a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",415,14399,1,0,"14:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):415:14399:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_15,551ea0b2e0c6b637bbd96ea021ef4e71b8bd9444b5554fa0647a7b292287d7fc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",415,14399,1,-1,"15:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):415:14399:1 |==> -1"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_16,f14d3b4921af6d0a1fb5239b18ecc0b74c44d9a900a6ea439dfff9f6ded586a7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",429,14826,1,0,"16:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):429:14826:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_17,30ad13b8d2dc8355ed58bb08262360b20d35c35f2248bf4154d4e1e8861eb028,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",429,14826,1,-1,"17:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):429:14826:1 |==> -1"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_18,052d9c76b5aaf6e9f023a167924ee354a16ef829dbde591f5b054d9f83c5d1f0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",444,15259,2,0,"18:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):444:15259:2 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_19,ab796181071e50767f7c4f2ec7680152ef5554ac491465796a1595e341266580,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",444,15259,2,-2,"19:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):444:15259:2 |==> -2"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_20,76e4b52eb6eb19ba73c9be4657f9e5212c9d68cda21be0ca1b2a21a7f3c349c6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",445,15298,1,0,"20:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):445:15298:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_21,378df4a008cc1f8b95b346d9d7f42ec0a4e607dd10bbab658015050fd2179559,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",445,15298,1,-1,"21:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):445:15298:1 |==> -1"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_22,8952588edc8997725d13a7f60a31357f7fe08ad277f281845d3908ebcef6affa,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",459,15725,1,0,"22:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):459:15725:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_full_catalog_try2,binaryToHexDigitMsb0_4bits,major_23,ad6db992691460754d22cc486d186ad0b4e2d5ca2999f36cc9ec8b62f01e1912,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",459,15725,1,-1,"23:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):459:15725:1 |==> -1"
