dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_1,a56d3b8d9bfd33e4b999ea9fa3b7a8ed1bb48a6a5d61dbc366017988cc190472,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<METHOD_INVOCATION(org.apache.commons.codec.language.bm.Languages.LanguageSet)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,encode(java.lang.String),372,14348,this.lang.guessLanguages(input),null,1:EVR:<METHOD_INVOCATION(org.apache.commons.codec.language.bm.Languages.LanguageSet)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String):372:14348:this.lang.guessLanguages(input) |==> null
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_18,cd5a4e87defd714cb15cb38f191a83c7ddf8c1690e411786c8bb10eb3bec838d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",400,15871,""")-(""","""""","18:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):400:15871:"")-("" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_19,5e47ef73e1c47cb2791ac00b3e0e09957d58a4781c92fac226840f8d3d89c284,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",400,15898,""")""","""""","19:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):400:15898:"")"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_20,5224aa668e956d823166aaf638c17a4373bc883421bfff2297c8355d0f72d099,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",404,16071,""" ""","""""","20:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):404:16071:"" "" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_21,81285fdfd8399db42726eff94ec57062649d9e7e804489b9bdd1157877fdbe5b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",404,16066,"input.startsWith(l + "" "")",false,"21:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):404:16066:input.startsWith(l + "" "") |==> false"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_22,eb1a308d7f5f30d36ae8d6adf60b7286d0530f8eaa4eb17f3579e5ffcbb0ccb3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",404,16066,"input.startsWith(l + "" "")",true,"22:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):404:16066:input.startsWith(l + "" "") |==> true"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_23,a9dc65647d3a3c607c8e80493c805cadd855986c3d973ee86895da17eec45e88,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",406,16215,1,0,"23:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):406:16215:1 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_24,ccd3f822e508bbc95d6d0502cb0d50c5357ae06c3b8e01b8c4b38aeb423bf62a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",406,16215,1,-1,"24:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):406:16215:1 |==> -1"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_25,a124778776278048572d615cee7931accf248f5f4f1b77337dcde5d6ba70b2a7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<PLUS(java.lang.String)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",407,16293,l + remainder,null,"25:EVR:<PLUS(java.lang.String)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):407:16293:l + remainder |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_26,bb62ab041d24ad6d3972171b5eea1b2849f91ccaabe8d230e491ebd9f38f647a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",408,16368,"""(""","""""","26:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):408:16368:""("" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_27,4a5ac934a8ff99ea1a1229678cc11905e9877a90212159c8b9446ed2f2df2802,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",408,16394,""")-(""","""""","27:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):408:16394:"")-("" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_28,13b43d1e37e13f4cc5f0d03bbfbe0065d430a4669420f5518918d19cabb10938,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",408,16421,""")""","""""","28:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):408:16421:"")"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_29,0e455df869824b932d43b8738ac8eb4da9113c0e1a7fa8cdef96d404ea46485f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",413,16530,"""\\s+""","""""","29:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):413:16530:""\\s+"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_30,15c756310d46b6a9852691dd824cbb1867a3d473694a8a04a093d5fbd25affaf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,EVR,<NEW_CLASS(java.util.ArrayList<java.lang.String>)>:<DEFAULT>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",414,16576,new ArrayList<String>(),null,"30:EVR:<NEW_CLASS(java.util.ArrayList<java.lang.String>)>:<DEFAULT>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):414:16576:new ArrayList<String>() |==> null"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_31,7a0e97edf2edce24b2fbeef0092bdc6068a7e247a1c9d85d240f564b09329321,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",420,16832,"""\'""","""""","31:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):420:16832:""\'"" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_32,3e1a0d5fa0b47754747d41ca912ac2d6fc24c68df78e46ac98834dceca7ff26b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",421,16899,1,0,"32:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):421:16899:1 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_33,5263cfa413d833e0e892463d67813c60eb7128c108fdb3d5671bd2bb6f18db66,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",421,16899,1,-1,"33:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):421:16899:1 |==> -1"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_34,658eacaa03e997da6385ceefa21e5df74aa3b01ffef782201163752789da1147,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,COR,<MEMBER_SELECT(boolean)>:FALSE,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",437,17381,this.concat,false,"34:COR:<MEMBER_SELECT(boolean)>:FALSE:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):437:17381:this.concat |==> false"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_35,56e72307b942c5b004bad95bf86a669e9e77c057b50dd5ce09ddc944b50a0aee,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,COR,<MEMBER_SELECT(boolean)>:TRUE,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",437,17381,this.concat,true,"35:COR:<MEMBER_SELECT(boolean)>:TRUE:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):437:17381:this.concat |==> true"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_36,32d14982361e0d60c86a74928ec968af276441f9c49be4a48a11d5d35b0a5903,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",439,17460,""" ""","""""","36:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):439:17460:"" "" |==> """""
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_37,ec5c4448213f363db8909b790c6e1998abc8d2393265200a82525e75a20c631d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:0,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",440,17502,1,0,"37:LVR:POS:0:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):440:17502:1 |==> 0"
defects4j,Codec_13,codec_13f_encode__line385_469,major_full_catalog_try2,encode,major_38,22046b256da059d360aa4919a43fd9eb0201320768b13f7b017b9b727526064b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_13f_encode__line385_469/run.log,LVR,POS:NEG,org.apache.commons.codec.language.bm.PhoneticEngine,"encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet)",440,17502,1,-1,"38:LVR:POS:NEG:org.apache.commons.codec.language.bm.PhoneticEngine@encode(java.lang.String,org.apache.commons.codec.language.bm.Languages.LanguageSet):440:17502:1 |==> -1"
