dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_1,e70c45a38558a0f2246f152b95b1ea573d74bb064996a348e1e14a4642b0383c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,EVR,<NEW_CLASS(org.jsoup.parser.TokenQueue)>:<DEFAULT>,org.jsoup.select.QueryParser,byAttribute(),178,5610,"new TokenQueue(tq.chompBalanced('[', ']'))",null,"1:EVR:<NEW_CLASS(org.jsoup.parser.TokenQueue)>:<DEFAULT>:org.jsoup.select.QueryParser@byAttribute():178:5610:new TokenQueue(tq.chompBalanced('[', ']')) |==> null"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_15,ceb8adfdd33c10bb81571af5029ebf3dbdd952aaf75adeacfb9c69df13602ed8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),189,6122,"""=""","""""","15:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():189:6122:""="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_16,138b972d37dd369110ab066ad72ae71fb6921c470e1eb5a34b09c505f065c663,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),189,6121,"cq.matchChomp(""="")",false,"16:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():189:6121:cq.matchChomp(""="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_17,3b60be977fe9bc1e81c26f0c9119098a959895d20dd06643ad707482bb2d5b4f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),189,6121,"cq.matchChomp(""="")",true,"17:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():189:6121:cq.matchChomp(""="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_18,87f4c21ff245dbd31b8993d410b388302e913423a0de801b4791472c0c58863a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),192,6246,"""!=""","""""","18:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():192:6246:""!="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_19,a228f10e08f471567aff3d169adf8d28add3aa8dfe8fed048fbce805c3c6d309,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),192,6245,"cq.matchChomp(""!="")",false,"19:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():192:6245:cq.matchChomp(""!="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_20,373c4ec8443887d85d92cf59776f78cac63fc5973c73e607015dbb597542d4cc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),192,6245,"cq.matchChomp(""!="")",true,"20:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():192:6245:cq.matchChomp(""!="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_21,ed5541f6902a246699a493aac1b77edea1da7926cf5d7ea5ef0e9fc607c166c5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),195,6374,"""^=""","""""","21:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():195:6374:""^="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_22,cbf80a3d5c4e670fa0d0dd6446903a0f25e0fb57f9e20f649d920cd0aefed051,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),195,6373,"cq.matchChomp(""^="")",false,"22:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():195:6373:cq.matchChomp(""^="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_23,339c65bc92637bd3fba07e6b635ede44d725fee81a5e9c692587451fe042ffe7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),195,6373,"cq.matchChomp(""^="")",true,"23:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():195:6373:cq.matchChomp(""^="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_24,44f647c7f246ca409e0d8b3fc8e8f9a9802656fb48681f45313ce861920ffafb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),198,6507,"""$=""","""""","24:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():198:6507:""$="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_25,cf7a9dfc0ffb60995461e8e33e919764f0685124934ddd21d792043db749b21b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),198,6506,"cq.matchChomp(""$="")",false,"25:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():198:6506:cq.matchChomp(""$="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_26,c704923108bf02c84099b7fb2e4bb558e207aeaf7f5da482a1f760aeb08c3d4f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),198,6506,"cq.matchChomp(""$="")",true,"26:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():198:6506:cq.matchChomp(""$="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_27,a0382d78270bfab34d45cdd583ced35301ffc863ac5f1923d55a08df7d579f09,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),201,6638,"""*=""","""""","27:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():201:6638:""*="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_28,8fd0020ff1d4fe60f820afda28c9dc985bb6027e0115fa51ab9580d43c3eaa92,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),201,6637,"cq.matchChomp(""*="")",false,"28:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():201:6637:cq.matchChomp(""*="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_29,7b08de141d3e36c6be78a2a486a0ebab53b7c53faba57a9a2e595b9846298e77,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),201,6637,"cq.matchChomp(""*="")",true,"29:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():201:6637:cq.matchChomp(""*="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_30,3aeaa4cba6c36eaf7433a8f861f327288242eab53cb46d4e81300082ceafb64b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),204,6773,"""~=""","""""","30:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():204:6773:""~="" |==> """""
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_31,effbef85268543e0aec11f61f6afec4e766b68e1af8c871250a9fdabf48e3404,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jsoup.select.QueryParser,byAttribute(),204,6772,"cq.matchChomp(""~="")",false,"31:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jsoup.select.QueryParser@byAttribute():204:6772:cq.matchChomp(""~="") |==> false"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_32,3e3b8a1f114ab3ffb0db87c978dd801304a70aefab1970544d1f3cf1e749cdb0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jsoup.select.QueryParser,byAttribute(),204,6772,"cq.matchChomp(""~="")",true,"32:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jsoup.select.QueryParser@byAttribute():204:6772:cq.matchChomp(""~="") |==> true"
defects4j,Jsoup_13,jsoup_13f_byAttribute__line177_209,defects4j_final_catalog_full_per_target,byAttribute,major_33,3bd3e7415297598f28b6d28c458206a01ca72923e7b99cce85b839279c31e7ca,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jsoup_13f_byAttribute__line177_209/run.log,LVR,<CLASS>:<EMPTY>,org.jsoup.select.QueryParser,byAttribute(),207,6962,"""Could not parse attribute query \'%s\': unexpected token at \'%s\'""","""""","33:LVR:<CLASS>:<EMPTY>:org.jsoup.select.QueryParser@byAttribute():207:6962:""Could not parse attribute query \'%s\': unexpected token at \'%s\'"" |==> """""
